club_tm,club_id,valor_plantel,div,equipo
VfL Osnabrück,81,12150000.0,D2,Osnabruck
FC Energie Cottbus,25,11150000.0,D2,Cottbus
Inter Milan,46,730300000.0,I1,Inter
Juventus FC,506,619300000.0,I1,Juventus
Como 1907,1047,535150000.0,I1,Como
AS Roma,12,484600000.0,I1,Roma
AC Milan,5,474350000.0,I1,Milan
Atalanta BC,800,436050000.0,I1,Atalanta
SSC Napoli,6195,432500000.0,I1,Napoli
ACF Fiorentina,430,322750000.0,I1,Fiorentina
SS Lazio,398,255850000.0,I1,Lazio
Bologna FC 1909,1025,216750000.0,I1,Bologna
US Sassuolo,6574,198950000.0,I1,Sassuolo
Torino FC,416,177100000.0,I1,Torino
Genoa CFC,252,169000000.0,I1,Genoa
Udinese Calcio,410,151300000.0,I1,Udinese
Parma Calcio 1913,130,149230000.0,I1,Parma
Cagliari Calcio,1390,120700000.0,I1,Cagliari
Venezia FC,607,116150000.0,I1,Venezia
AC Monza,2919,103450000.0,I1,Monza
Frosinone Calcio,8970,94200000.0,I1,Frosinone
US Lecce,1005,82500000.0,I1,Lecce
Pisa Sporting Club,4172,63830000.0,I2,Pisa
Palermo FC,458,52080000.0,I2,Palermo
US Cremonese,2239,49750000.0,I2,Cremonese
Hellas Verona,276,47830000.0,I2,Verona
UC Sampdoria,1038,44550000.0,I2,Sampdoria
Modena FC,1385,29250000.0,I2,Modena
US Avellino 1912,2331,28680000.0,I2,Avellino
Mantova 1911,2581,27850000.0,I2,Mantova
Cesena FC,1429,27780000.0,I2,Cesena
Calcio Padova,3037,27050000.0,I2,Padova
FC Südtirol,4554,24330000.0,I2,Sudtirol
Carrarese Calcio 1908,4159,22150000.0,I2,Carrarese
US Catanzaro,4097,21830000.0,I2,Catanzaro
FC Empoli,749,18850000.0,I2,Empoli
Benevento Calcio,4171,16750000.0,I2,Benevento
SS Juve Stabia,5587,14430000.0,I2,Juve Stabia
LR Vicenza,2655,12700000.0,I2,Vicenza
Ascoli Calcio,408,12700000.0,I2,Ascoli
SS Arezzo,4255,12200000.0,I2,Arezzo
Virtus Entella,20519,10730000.0,I2,Virtus Entella
Paris Saint-Germain,583,1360000000.0,F1,Paris SG
AS Monaco,162,314650000.0,F1,Monaco
RC Strasbourg Alsace,667,287450000.0,F1,Strasbourg
Olympique Lyon,1041,258650000.0,F1,Lyon
LOSC Lille,1082,241600000.0,F1,Lille
Stade Rennais FC,273,233300000.0,F1,Rennes
RC Lens,826,203200000.0,F1,Lens
Olympique Marseille,244,181850000.0,F1,Marseille
Paris FC,10004,173200000.0,F1,Paris FC
OGC Nice,417,139600000.0,F1,Nice
FC Toulouse,415,110900000.0,F1,Toulouse
AJ Auxerre,290,91200000.0,F1,Auxerre
FC Lorient,1158,90050000.0,F1,Lorient
Stade Brestois 29,3911,69600000.0,F1,Brest
Angers SCO,1420,64000000.0,F1,Angers
Le Havre AC,738,60450000.0,F1,Le Havre
ESTAC Troyes,1095,40280000.0,F1,Troyes
Le Mans FC,1164,27550000.0,F1,Le Mans
FC Nantes,995,76980000.0,F2,Nantes
AS Saint-Étienne,618,66650000.00000001,F2,St Etienne
Stade Reims,1421,51980000.0,F2,Reims
FC Metz,347,38850000.0,F2,Metz
Montpellier HSC,969,29850000.0,F2,Montpellier
Clermont Foot 63,3524,16600000.000000002,F2,Clermont
Red Star FC,1154,14280000.0,F2,Red Star
AS Nancy-Lorraine,1159,14200000.0,F2,Nancy
Rodez AF,11273,13700000.0,F2,Rodez
Grenoble Foot 38,1290,11700000.0,F2,Grenoble
EA Guingamp,855,11650000.0,F2,Guingamp
USL Dunkerque,9202,11450000.0,F2,Dunkerque
Pau FC,3166,10300000.0,F2,Pau FC
Stade Lavallois,1080,8980000.0,F2,Laval
FC Annecy,30204,8900000.0,F2,Annecy
FC Sochaux-Montbéliard,750,8480000.0,F2,Sochaux
US Boulogne,7042,8199999.999999999,F2,Boulogne
Dijon FCO,2969,5680000.0,F2,Dijon
FC Porto,720,464800000.0,P1,Porto
Sporting CP,336,378700000.0,P1,Sp Lisbon
SL Benfica,294,377050000.0,P1,Benfica
SC Braga,1075,150300000.0,P1,Sp Braga
FC Famalicão,3329,61650000.0,P1,Famalicao
Vitória Guimarães SC,2420,52100000.0,P1,Guimaraes
FC Alverca,2521,44900000.0,P1,Alverca
GD Estoril Praia,1465,44700000.0,P1,Estoril
Rio Ave FC,2425,42330000.0,P1,Rio Ave
Casa Pia AC,3268,28550000.0,P1,Casa Pia
CF Estrela Amadora,2431,26980000.0,P1,Estrela
FC Arouca,8024,26880000.0,P1,Arouca
Gil Vicente FC,2424,26100000.0,P1,Gil Vicente
Moreirense FC,979,24950000.0,P1,Moreirense
CD Nacional,982,21450000.0,P1,Nacional
CD Santa Clara,2423,21430000.0,P1,Santa Clara
Académico Viseu FC,7788,19330000.0,P1,Academico Viseu
CS Marítimo,1301,16880000.0,P1,Maritimo
PSV Eindhoven,383,284450000.0,N1,PSV Eindhoven
Ajax Amsterdam,610,218700000.0,N1,Ajax
Feyenoord Rotterdam,234,210730000.0,N1,Feyenoord
AZ Alkmaar,1090,129300000.0,N1,AZ Alkmaar
FC Twente Enschede,317,77350000.0,N1,Twente
FC Utrecht,200,63600000.0,N1,Utrecht
SC Heerenveen,306,52650000.0,N1,Heerenveen
NEC Nijmegen,467,44680000.0,N1,Nijmegen
FC Groningen,202,32850000.0,N1,Groningen
Sparta Rotterdam,468,29300000.0,N1,Sparta Rotterdam
PEC Zwolle,1269,25280000.0,N1,Zwolle
Go Ahead Eagles,1435,22200000.0,N1,Go Ahead Eagles
Willem II Tilburg,403,21650000.0,N1,Willem II
Excelsior Rotterdam,798,17130000.0,N1,Excelsior
