equipo,pts5,pts10,gf5,gc5,gf10,gc10,tap_f5,tap_c5,tiros_f10,tiros_c10,elo_tend,fecha
Reggina,1.2,1.3,1.0,1.4,1.0,1.4,3.8,4.0,10.6,13.9,-4.991374963837643,2023-05-19
Reims,2.2,1.8,2.4,1.2,2.2,1.4,6.0,4.4,11.9,12.0,14.69454053494519,2026-09-18
Rennes,2.0,1.9,1.6,1.8,1.8,1.8,5.4,5.4,17.0,16.5,5.999475589014537,2026-09-19
Reus Deportiu,0.0,0.0,0.0,1.0,0.0,1.0,,,,,-19.322289500969646,2019-06-08
Rio Ave,0.8,0.6,1.0,2.4,0.7,2.0,3.0,6.2,8.6,16.7,-5.948107018195969,2026-09-19
Rizespor,1.4,1.4,1.2,1.2,1.2,1.6,5.0,4.8,15.6,15.1,1.4504355188009868,2026-09-20
Roda,1.4,1.3,2.4,2.0,1.6,1.6,4.8,5.4,14.7,16.2,19.78019724287583,2018-05-06
Rodez,0.8,1.4,2.2,2.6,1.8,1.8,5.8,5.0,14.9,11.5,-20.498678327372318,2026-09-18
Roma,2.6,2.8,2.8,0.6,2.7,0.5,7.0,3.4,17.4,8.5,26.619300264139383,2026-09-19
Ross County,0.4,0.5,0.8,1.8,0.7,1.6,2.6,6.2,9.5,16.3,-20.25486314254954,2025-05-18
Rotherham,0.8,0.8,1.0,1.4,0.7,1.7,2.8,4.4,8.1,16.2,5.083563020775955,2024-05-04
SK Sturm Graz (AUT),1.2,0.75,0.8,1.8,0.625,1.75,,,,,19.752840577968982,2025-01-29
Sabadell,2.0,1.7,1.4,1.0,1.1,0.9,5.0,3.0,13.3,9.5,27.200743374655076,2026-09-20
Salernitana,1.8,1.6,1.4,0.8,1.1,0.8,3.0,3.0,12.5,10.9,18.053961021634223,2025-05-13
Sampdoria,0.8,1.1,1.0,1.8,0.8,1.4,5.6,3.8,15.0,11.7,-11.03524179244755,2026-09-19
Samsunspor,0.6,1.3,0.6,1.8,1.6,1.8,2.6,5.8,12.7,16.3,-31.39234024956545,2026-09-20
Sandhausen,0.6,0.7,0.8,1.4,0.9,2.0,2.6,4.4,8.4,13.5,-14.508466597791312,2023-05-28
Santa Clara,2.2,1.9,1.6,0.4,1.5,0.7,3.4,2.4,12.7,9.2,29.895988792635308,2026-09-20
Santander,1.2,1.4,1.8,3.6,2.0,2.4,4.4,8.6,12.5,15.7,-2.071140297695365,2026-09-19
Sassuolo,1.4,1.1,1.8,1.8,1.4,1.5,7.0,6.0,14.4,15.3,7.225586618994157,2026-09-18
Schalke 04,1.6,2.0,0.8,0.8,1.4,1.1,4.2,5.6,13.4,12.6,17.624264839493435,2026-09-20
Sedan,0.4,0.8,1.0,2.0,1.5,1.8,,,,,-20.571044607083195,2013-05-24
Seraing,0.2,0.2,0.6,2.4,0.5,2.3,1.4,7.4,6.2,15.6,-10.768510113977527,2023-04-22
Setubal,0.8,0.6,1.0,1.2,1.0,1.6,2.4,4.0,8.9,13.2,-7.3741854306283585,2020-07-26
Sevilla,1.4,1.6,1.0,1.4,1.3,1.3,4.2,3.6,11.3,10.9,4.778953515101648,2026-09-19
Sevilla B,1.2,1.3,1.0,1.2,0.9,1.2,3.8,6.4,9.1,14.2,1.9667696651649749,2018-06-01
Shakhtar Donetsk (UKR),1.2,1.0,1.6,2.4,1.2,2.1,,,,,0.9890257910381024,2025-01-29
Sheffield United,1.2,1.2,1.4,1.8,1.3,1.5,3.6,5.4,9.8,16.1,-17.969284285985168,2026-09-19
Sheffield Weds,1.0,0.7,0.8,1.4,0.7,1.6,2.2,5.0,9.0,16.3,9.268766658959294,2026-05-02
Siena,1.8,1.3,1.4,0.8,0.9,0.9,,,,,-0.08692423442539621,2014-05-30
Sivasspor,0.8,0.8,0.6,1.4,1.3,1.8,1.8,5.2,10.5,13.8,-7.111548485430831,2025-05-31
Slavia Praha (CZE),0.2,0.3,0.6,2.8,0.7,2.4,,,,,-12.018638205430761,2026-01-28
Sochaux,1.8,1.0,0.8,0.4,0.6,1.1,2.8,5.0,9.8,14.2,13.34456893688639,2026-09-18
Sociedad,2.0,1.2,1.6,1.6,1.4,1.9,6.0,5.0,11.7,17.0,9.651222840690252,2026-09-20
Sociedad B,1.6,1.3,1.6,1.2,1.4,1.4,3.8,4.0,12.1,13.2,23.192862187818037,2026-09-19
Southampton,1.6,1.8,2.0,1.2,2.4,1.3,4.8,4.2,16.7,15.5,3.8518868494509206,2026-09-19
Sp Braga,2.0,1.4,1.0,0.6,1.3,1.2,4.4,2.2,10.7,10.6,-3.283963238528713,2026-09-20
Sp Gijon,1.8,1.9,1.0,0.8,1.4,0.9,3.6,2.8,10.0,13.4,6.081067503202576,2026-09-19
Sp Lisbon,2.2,2.4,2.4,0.8,2.9,1.0,6.0,2.4,13.9,9.5,-3.3105250669023008,2026-09-19
Spal,1.0,1.0,0.8,1.0,1.0,1.2,4.2,3.4,15.0,14.8,1.5141529821542008,2023-05-19
Sparta Rotterdam,0.4,0.6,1.4,3.0,1.4,2.6,4.2,6.8,14.2,18.4,-26.848816820509228,2026-09-19
Spartak Moskva (RUS),1.0,0.9,1.6,2.4,1.2,2.1,,,,,20.584508783382944,2017-12-06
Spezia,1.0,0.9,2.2,2.0,1.8,2.2,4.0,4.8,12.6,11.9,-3.5580551909004043,2026-05-08
St Etienne,2.0,1.9,2.6,1.4,2.5,1.3,7.6,3.0,15.1,10.5,11.336589541276226,2026-09-19
St Johnstone,1.0,1.1,1.0,1.2,1.2,1.5,3.8,5.0,11.7,12.3,11.001261090203116,2026-09-19
St Mirren,0.8,1.4,1.0,1.8,1.1,1.3,3.6,6.6,13.8,12.8,-9.938921678646011,2026-09-19
St Pauli,1.2,0.7,1.4,1.4,1.1,1.7,4.8,3.8,12.4,13.9,-3.2408020701172973,2026-09-20
St Truiden,1.2,1.2,1.6,1.6,1.7,1.6,3.8,5.4,16.0,14.3,-17.284667575534513,2026-09-20
St. Gilloise,3.0,2.3,3.2,0.4,2.6,0.9,8.6,2.8,18.0,11.4,26.40204050869238,2026-09-20
Standard,1.8,1.5,1.6,1.4,1.5,1.5,5.0,5.0,12.7,16.6,3.4259282564855766,2026-09-18
Stoke,2.6,1.3,2.0,0.6,1.4,1.7,5.0,4.2,12.5,13.2,38.39684010252245,2026-09-19
Strasbourg,1.4,1.7,2.0,2.0,2.2,2.0,4.8,6.2,11.8,17.0,-0.013433090485477805,2026-09-19
Stuttgart,0.8,1.2,1.6,2.2,2.1,2.0,5.8,6.2,16.2,16.2,-14.484138203976727,2026-09-19
Sudtirol,2.2,1.3,1.8,0.6,1.2,1.5,3.2,4.2,11.0,14.2,34.015882029929344,2026-09-20
Sunderland,0.8,1.2,1.2,2.0,1.2,1.8,5.0,3.2,13.2,12.1,0.03487288818178058,2026-09-20
Swansea,2.0,2.1,1.6,1.0,1.7,0.8,4.6,3.6,12.4,11.8,17.48737329627079,2026-09-19
Telstar,0.4,1.2,0.4,1.6,1.1,1.4,2.2,6.8,8.4,17.0,-17.60144780517703,2026-09-20
Tenerife,1.4,1.1,0.8,1.4,0.7,1.2,3.0,2.0,10.0,8.8,5.039780072916528,2026-09-19
Ternana,1.4,1.4,1.0,1.0,0.9,1.1,4.4,4.0,11.8,17.7,6.9081362227436784,2024-05-10
Tondela,1.4,0.9,1.2,1.4,0.8,1.7,3.4,4.0,10.3,12.9,11.816895757830935,2026-05-16
Torino,0.8,0.9,1.0,1.6,1.2,1.7,3.0,4.6,11.0,15.3,-5.592755945471708,2026-09-19
Tottenham,0.4,1.2,0.4,1.6,0.8,1.2,3.8,4.2,13.8,12.0,-24.656308555294572,2026-09-19
Toulouse,1.0,1.3,1.4,1.8,1.5,1.6,4.6,5.2,12.9,15.3,-9.694143668689321,2026-09-19
Tours,0.8,0.9,1.8,2.4,1.4,1.7,4.2,6.8,5.7,10.4,-2.502663811929324,2018-05-11
Trabzonspor,1.8,1.4,2.4,0.8,1.7,1.2,6.8,5.0,13.9,14.0,8.998981229939318,2026-09-19
Trapani,2.4,2.1,1.8,0.8,1.7,0.8,5.4,4.6,13.4,12.6,35.88481647195749,2020-07-31
Troyes,0.8,1.3,0.8,2.2,1.3,1.4,2.8,5.6,14.4,12.0,-8.87258648037664,2026-09-19
Twente,2.6,2.0,2.4,1.0,2.2,1.4,8.0,3.6,20.4,11.0,17.587004543415105,2026-09-20
UCAM Murcia,0.8,1.0,0.8,1.2,0.7,1.1,,,,,-7.261419855524991,2017-06-10
Udinese,0.8,1.1,1.6,2.2,1.5,1.6,4.8,6.2,13.5,15.1,-11.697064916081672,2026-09-19
Ulm,0.8,1.1,1.4,2.6,1.1,1.7,3.6,5.6,13.0,14.4,-12.368734230286918,2025-05-18
Umraniyespor,0.8,0.7,1.0,1.6,1.2,1.9,2.25,6.25,12.444444444444445,12.777777777777779,-10.936674615245465,2023-06-07
Uniao Madeira,0.6,0.5,1.4,2.0,1.1,1.8,,,,,-16.621952716476926,2016-05-14
Union Berlin,0.8,0.8,1.6,3.4,1.6,2.8,5.8,7.8,13.3,14.0,-9.305918003440866,2026-09-18
Utrecht,1.0,1.4,1.8,3.6,1.7,2.5,3.8,8.4,13.5,16.7,-11.90378358814064,2026-09-20
VVV Venlo,0.2,0.1,0.8,3.2,0.6,2.5,4.6,8.0,10.6,14.8,-30.92897801665572,2021-05-16
Valencia,0.6,1.1,0.8,2.4,1.2,1.8,2.8,5.4,11.8,13.2,-25.053005257746463,2026-09-20
Valenciennes,1.8,1.0,1.2,1.2,0.8,1.7,3.2,5.8,8.9,14.7,20.126042775764063,2024-05-17
Valladolid,1.0,0.8,0.6,1.2,0.6,1.5,4.0,3.6,11.0,11.9,-5.043787955178914,2026-09-20
Vallecano,1.4,1.5,1.8,2.6,1.6,1.8,5.2,6.4,13.0,15.8,4.861279389062474,2026-09-19
Varese,1.2,0.8,0.8,1.2,0.6,1.4,,,,,1.8875077122243056,2015-05-22
Venezia,0.0,1.1,0.8,2.6,1.4,1.6,4.4,6.0,15.3,12.0,-44.99101909354863,2026-09-19
Veria,1.2,0.9,1.6,2.0,1.2,2.1,,,,,6.239093880243445,2017-04-30
Verona,1.4,1.0,2.0,1.4,1.2,1.2,5.6,2.8,12.7,13.1,-9.615951439899618,2026-09-20
Vicenza,1.0,1.4,1.4,2.0,1.3,1.4,4.2,6.4,11.4,12.4,-4.019567485368725,2026-09-20
Viktoria Plzeň (CZE),0.0,0.6,0.8,3.8,1.0,3.3,,,,,-9.479271260373935,2022-11-01
Villarreal,1.2,1.1,1.8,1.6,2.0,1.8,6.6,3.8,14.3,12.7,-15.729337945850375,2026-09-20
Villarreal B,0.8,1.3,1.0,2.0,1.2,1.4,4.4,4.4,16.3,12.1,-14.619497166182327,2024-06-02
Virtus Entella,1.0,1.3,1.4,1.2,1.2,1.1,3.8,4.2,14.1,10.0,12.119002748303728,2026-09-19
Virtus Lanciano,0.6,0.7,1.0,2.0,1.0,1.7,,,,,-13.322654583771737,2016-05-20
Vitesse,1.4,0.8,1.6,2.4,1.1,2.5,4.8,7.6,16.0,17.2,23.646172292700385,2024-05-19
Vizela,1.0,0.8,1.6,1.2,1.3,1.9,3.8,4.0,10.9,14.1,10.466612518899183,2024-05-18
Volendam,0.8,0.8,1.0,1.4,0.9,1.6,5.4,4.2,12.2,16.4,-1.0308574064629283,2026-05-17
Volos NFC,0.4,0.2,0.8,1.8,1.0,2.5,2.8,3.0,11.0,14.4,-10.690661690654224,2026-09-20
Waalwijk,1.2,0.8,1.8,3.2,1.2,2.5,4.4,6.8,10.3,19.1,5.811327920811664,2025-05-18
Waasland-Beveren,1.2,1.0,2.0,2.2,1.4,1.9,6.6,5.4,11.3,13.6,3.871089057760173,2021-04-18
Waregem,1.4,2.0,1.6,1.2,1.9,1.0,4.6,5.2,13.5,12.2,7.889828009650273,2026-09-19
Watford,0.6,0.8,0.6,1.4,0.8,1.9,2.8,6.2,11.8,16.0,-19.89638398946431,2026-09-18
Wehen,0.2,0.2,1.0,2.0,0.7,2.0,6.0,5.4,13.1,13.1,-25.454221449529314,2024-05-19
Werder Bremen,1.4,1.1,1.6,2.0,1.4,1.9,5.8,5.8,12.3,16.2,8.893880939677501,2026-09-19
West Brom,1.6,1.5,0.8,0.6,1.1,1.0,3.0,3.0,10.4,11.7,5.194111207735659,2026-09-20
West Ham,2.6,1.8,3.6,1.2,2.6,1.4,7.0,3.4,15.7,13.1,16.946281330880083,2026-09-19
Westerlo,2.0,1.3,2.4,1.6,1.7,2.0,6.4,4.2,15.2,14.4,30.57915658433035,2026-09-20
Wigan,1.6,1.3,0.8,0.6,0.7,0.8,3.0,3.0,9.9,13.0,12.917348749824441,2023-05-08
Willem II,0.4,0.3,0.8,2.4,0.9,2.5,3.2,6.2,11.8,18.8,-13.981788149361364,2026-09-19
Wolfsburg,2.0,1.6,3.0,1.6,1.9,1.1,6.6,4.6,17.3,13.9,11.13885939119291,2026-09-18
Wolves,2.0,1.6,2.0,1.4,1.7,1.5,4.8,3.6,14.4,11.6,6.422760691487838,2026-09-20
Wrexham,1.6,1.1,1.2,1.6,1.2,1.7,2.8,4.6,12.0,12.4,21.728852598515914,2026-09-19
Wurzburger Kickers,1.0,1.0,1.4,2.0,1.1,1.8,4.0,5.0,9.9,16.0,-6.810988194672291,2021-05-23
Wycombe,2.0,1.7,1.8,1.0,1.5,1.1,4.4,3.2,12.3,11.5,37.29337138287087,2021-05-08
Xanthi,1.0,0.8,0.6,0.8,0.5,0.8,3.8,2.0,7.5,6.1,-3.838399207090788,2020-07-18
Xerez,1.2,0.7,1.8,2.2,1.3,2.0,,,,,9.463975584122181,2013-06-08
Yeni Malatyaspor,0.0,0.0,0.8,3.2,0.4,2.3,3.4,8.8,9.3,18.6,-31.82245547978505,2022-05-21
Yeovil,0.4,0.7,0.6,1.8,1.1,2.0,3.0,5.2,11.7,18.5,-22.6977991954725,2014-05-03
Zaragoza,0.2,0.3,0.4,1.8,0.6,1.6,2.4,5.4,13.4,11.4,-30.044349117142474,2026-05-31
Zenit St. Petersburg (RUS),1.0,0.6,2.0,1.8,1.3,1.9,,,,,5.548720716745947,2021-12-08
Zwolle,0.8,0.7,1.0,3.0,0.9,2.5,3.8,7.2,9.8,19.1,-6.589842114097337,2026-09-18
ŠK Slovan Bratislava (SVK),0.0,0.0,1.2,3.2,0.875,3.375,,,,,-24.37144484861824,2025-01-29
