equipo,pts5,pts10,gf5,gc5,gf10,gc10,tap_f5,tap_c5,tiros_f10,tiros_c10,elo_tend,fecha
Aston Villa,0.8,1.1,0.8,1.8,1.3,1.7,2.4,5.2,10.7,15.1,-25.752168267888237,2026-09-19
Atalanta,1.2,1.1,1.0,1.4,1.1,1.4,3.4,6.2,13.2,15.3,-17.473705325252695,2026-09-20
Ath Bilbao,1.6,0.9,1.2,0.6,1.0,1.4,4.0,3.6,15.4,9.2,21.897454586154254,2026-09-19
Ath Bilbao B,0.8,0.5,1.0,1.4,1.0,1.7,,,,,-5.519272471457498,2016-06-04
Ath Madrid,2.4,2.2,2.4,1.0,2.0,1.3,7.0,3.2,15.0,13.0,14.231901956664842,2026-09-20
Athens Kallithea,1.6,1.5,1.0,1.0,1.1,1.3,3.6,3.6,9.9,10.8,14.641184894769594,2025-05-18
Atromitos,0.4,0.8,0.8,1.4,1.7,1.5,3.0,4.4,11.9,11.6,-18.528850657022303,2026-09-19
Augsburg,1.4,1.8,2.2,2.0,2.2,1.6,6.0,7.6,14.1,19.8,6.889754474623032,2026-09-19
Austria Wien (AUT),1.0,0.8333333333333334,1.0,1.8,0.8333333333333334,1.6666666666666667,,,,,11.668970011300416,2013-12-11
Auxerre,1.2,1.6,1.4,2.4,1.8,1.9,5.0,5.6,11.9,12.6,-12.99935697115825,2026-09-20
Avellino,1.4,1.7,1.4,1.2,1.3,0.8,4.2,4.8,11.9,15.0,4.683923785930801,2026-09-19
Aves,0.6,0.4,0.2,2.6,0.1,2.1,2.6,6.4,9.1,13.9,-11.00858801622826,2020-07-26
BATE Borisov (BLR),1.0,0.5,0.8,1.6,0.5,2.9,,,,,19.36907404298745,2015-12-09
BSC Young Boys (SUI),0.0,0.3,0.6,3.0,0.6,2.6,,,,,-21.37086211207884,2025-01-29
Balikesirspor,1.4,1.2,2.2,2.0,2.1,2.0,,,,,7.791880400072387,2015-05-29
Barcelona,3.0,2.4,4.8,1.4,3.5,1.2,8.2,4.0,18.4,8.6,18.234543572285475,2026-09-19
Barcelona B,1.4,0.7,1.2,1.2,1.0,1.6,4.8,4.0,15.0,10.0,11.562395265410487,2018-06-02
Bari,1.2,1.2,1.0,1.8,1.3,2.0,2.0,6.4,8.8,17.7,-1.0957611975761665,2026-05-08
Barnsley,0.0,0.5,0.4,2.6,0.7,2.1,4.6,5.4,11.6,13.9,-48.45335240571353,2022-05-07
Bastia,1.4,1.0,1.4,1.4,1.1,1.4,4.4,3.4,12.5,9.4,8.884192583722552,2026-05-09
Bayern Munich,2.6,2.1,3.8,0.6,3.2,1.5,8.4,2.0,19.5,10.25,0.5773532661494301,2026-09-18
Beerschot VA,1.2,1.0,2.0,1.8,1.2,1.4,3.8,5.6,10.4,15.8,14.765311913326514,2025-05-10
Beira Mar,1.2,0.8,1.6,2.0,1.2,1.7,,,,,-5.764109527993469,2013-05-19
Belenenses,1.0,1.1,1.0,1.2,0.9,1.0,3.2,5.0,10.5,16.0,-0.3139523758457017,2022-05-14
Benevento,1.4,1.2,1.2,1.0,1.4,1.5,3.6,3.4,15.0,15.1,6.116967346509,2026-09-19
Benfica,2.4,2.1,2.6,1.0,2.9,1.2,6.2,2.6,18.5,8.9,3.110711856185162,2026-09-20
Bergen,1.8,1.2,1.8,1.6,1.3,2.1,,,,,21.102994328986142,2014-03-16
Besiktas,1.8,1.7,2.6,1.4,1.9,1.1,6.6,3.2,18.3,11.2,3.0097363433312694,2026-09-20
Betis,2.0,2.2,1.4,1.4,1.4,1.2,7.0,7.0,16.3,14.8,4.406192834526564,2026-09-20
Beveren,1.2,1.2857142857142858,1.0,1.8,1.0,1.5714285714285714,3.2,4.4,10.714285714285714,15.571428571428571,-3.8832718902103807,2026-09-20
Beziers,1.6,1.5,1.4,1.0,1.6,1.6,5.2,7.0,10.8,16.7,19.0610658669234,2019-05-17
Bielefeld,1.0,1.2,1.8,2.0,2.0,1.8,3.8,4.8,14.6,12.5,-6.0100784091091555,2026-09-20
Birmingham,1.2,1.5,1.6,1.6,1.5,1.3,5.2,4.4,13.0,12.0,6.678109569022581,2026-09-19
Blackburn,1.0,1.2,1.4,1.4,1.5,1.4,4.2,3.4,11.3,16.5,1.3741752651555998,2026-09-19
Blackpool,1.8,1.2,1.0,1.0,1.5,1.9,3.6,4.0,11.9,15.5,14.460111060000145,2023-05-08
Boavista,1.2,0.9,1.0,2.4,0.9,1.9,2.8,7.0,10.6,16.4,8.882656141408916,2025-05-17
Bochum,1.4,1.5,1.0,1.0,1.1,1.0,5.2,4.4,14.9,12.7,-6.13673169624758,2026-09-20
Bodrumspor,0.6,1.0,0.6,1.6,0.8,1.4,4.4,4.0,11.4,12.0,-13.45529661696878,2025-06-01
Bologna,0.4,1.0,0.6,1.2,1.0,1.3,3.2,3.4,12.1,10.9,-22.436000985647752,2026-09-19
Bolton,1.2,1.0,1.8,2.6,1.1,1.7,5.2,6.2,11.666666666666666,12.333333333333334,12.78134876762988,2026-09-20
Bordeaux,1.8,1.3,2.2,1.4,1.9,1.8,5.2,4.8,13.0,11.7,-0.621247347580038,2024-05-17
Boulogne,0.8,0.5,0.6,0.8,0.7,1.5,5.0,4.0,10.4,10.8,-1.703268343566151,2026-09-19
Bourg Peronnas,0.8,0.9,1.4,3.6,1.2,2.5,3.4,6.8,10.4,10.6,-12.249513277173264,2018-05-11
Bournemouth,0.6,1.2,1.2,1.6,1.4,1.2,5.2,4.0,13.8,11.4,-13.381144715658138,2026-09-20
Braunschweig,0.2,1.0,1.2,2.4,1.6,1.7,6.6,6.8,13.7,15.3,-33.35453655093147,2026-09-19
Brentford,1.8,1.4,2.0,0.8,1.7,1.2,4.6,4.6,13.6,15.6,18.292914514795484,2026-09-18
Brescia,1.6,1.3,1.2,1.0,1.1,1.1,3.6,3.2,13.1,14.2,7.079595748652309,2025-05-13
Brest,1.0,0.7,1.4,1.6,1.2,1.9,5.8,4.4,15.3,14.1,-4.437906887162853,2026-09-20
Brighton,2.0,1.6,3.2,1.0,2.3,1.2,5.8,3.8,16.9,10.0,34.295677898721806,2026-09-19
Bristol City,1.8,1.6,1.4,1.4,1.4,1.4,5.6,3.2,13.6,12.8,11.720785729022055,2026-09-18
Burgos,1.6,2.1,1.4,1.0,1.4,0.7,2.4,3.6,11.1,14.8,6.845682728105203,2026-09-20
Burnley,0.6,0.5,1.0,1.6,1.0,1.9,3.4,4.6,12.8,14.1,-26.98685655549184,2026-09-19
Bursaspor,1.6,1.0,0.6,0.6,0.6,0.9,3.4,2.2,14.4,9.2,9.908973205583152,2019-05-26
Burton,1.8,1.1,1.6,1.8,1.2,1.9,5.8,3.2,11.0,14.6,16.87137923979435,2018-05-06
Buyuksehyr,0.8,1.6,1.6,2.2,2.0,1.5,4.2,4.6,13.5,12.8,-27.567131273367295,2026-09-19
CA Bastia,0.6,0.7,1.0,2.4,0.8,1.6,,,,,-9.00281732950657,2014-05-16
CFR Cluj (ROU),1.4,1.6666666666666667,1.4,1.4,1.5,1.1666666666666667,,,,,10.33946204859376,2012-12-05
CSKA Moskva (RUS),1.2,1.3,1.2,1.4,1.3,1.4,,,,,22.129358934654192,2018-12-12
Cadiz,0.4,0.7,1.2,1.8,1.1,1.5,3.2,6.2,9.7,15.1,-13.581389438544875,2026-09-19
Caen,0.4,0.6,0.8,2.4,1.0,2.1,3.4,6.4,12.0,13.5,-22.253059888171265,2025-05-10
Cagliari,2.4,2.2,1.0,0.4,1.2,0.8,4.2,4.2,13.1,16.2,34.649046099701536,2026-09-19
Cambuur,1.0,0.8,1.8,2.4,1.5,2.5,4.0,5.2,12.9,14.6,18.951375141240987,2026-09-19
Cardiff,0.8,0.8,1.0,1.4,1.2,1.6,6.6,4.2,18.7,13.8,-10.506549365015871,2026-09-19
Carpi,0.8,0.7,1.6,1.6,1.4,2.2,4.6,5.2,11.8,15.3,-2.1003988243335243,2019-05-11
Carrarese,0.2,0.3,0.4,1.2,0.5,1.5,3.2,3.6,14.2,15.3,-28.275461281336902,2026-09-19
Cartagena,1.2,0.7,1.4,1.8,1.3,2.0,3.2,6.2,7.2,22.8,4.536727703868792,2025-06-01
Casa Pia,0.8,0.8,0.6,1.6,0.5,1.8,3.0,5.4,10.7,14.0,-3.3574155196095035,2026-09-20
Castellon,2.6,2.4,2.2,0.4,1.7,0.5,5.4,3.2,16.1,8.4,27.866355881080608,2026-09-19
Catania,0.4,1.7,1.0,2.0,1.7,1.2,,,,,-28.33336011422898,2015-05-22
Catanzaro,0.6,0.8,1.0,1.8,1.6,2.0,3.6,5.8,12.9,12.6,-29.670430795551738,2026-09-19
Celta,1.2,1.1,1.4,0.8,1.2,1.0,4.2,4.2,9.8,13.7,-6.523879494945504,2026-09-19
Celta B,1.2,1.1666666666666667,1.4,2.0,1.1666666666666667,1.6666666666666667,5.0,5.8,13.0,15.5,-3.4023261555666977,2026-09-20
Celtic,2.4,2.7,1.6,0.6,2.3,0.8,7.6,4.0,17.3,11.4,-2.5209148661922427,2026-09-20
Cercle Brugge,0.2,0.6,0.6,1.8,1.3,2.2,3.4,3.8,14.1,13.5,-26.391286763508333,2026-09-19
Cesena,1.4,0.9,1.4,1.2,1.0,1.4,3.2,5.0,13.6,15.2,8.177421249041345,2026-09-18
Ceuta,0.2,0.8,0.4,2.2,0.8,2.1,3.2,4.0,10.5,13.1,-36.81785058092396,2026-09-20
Chambly,1.4,1.4,1.2,1.4,1.3,1.6,3.6,3.8,8.8,12.6,11.676436045991295,2021-05-15
Charleroi,2.4,2.2,2.2,1.2,1.8,0.9,5.2,4.0,17.2,10.8,22.661133862105316,2026-09-19
Charlton,0.6,1.5,0.4,1.6,1.0,1.4,2.0,4.8,10.1,16.9,-21.780390522229027,2026-09-19
Chateauroux,0.4,0.5,0.6,1.4,0.8,1.4,2.2,6.2,11.6,13.1,-9.20979519514185,2021-05-15
Chaves,0.2,0.5,0.6,2.4,0.7,1.8,3.2,5.2,8.1,13.4,-19.66176773624261,2024-05-18
Chelsea,1.4,1.1,2.0,2.4,1.5,2.2,5.2,6.4,12.4,13.0,-4.388937348923491,2026-09-18
Chievo,1.6,1.4,2.0,1.4,1.4,1.0,4.0,3.8,10.3,11.4,8.435585022649775,2021-05-10
Cittadella,0.8,0.6,1.0,1.4,0.9,1.7,3.0,3.2,11.2,14.1,-11.659457413928976,2025-05-13
Clermont,1.0,1.3,0.6,0.6,0.8,0.8,3.0,2.8,8.9,14.0,-0.025735617305826963,2026-09-18
Club Brugge,2.4,2.5,1.8,0.6,2.7,0.5,5.2,4.2,19.2,14.1,0.9990924561723205,2026-09-20
Como,2.0,2.3,1.8,1.2,1.7,0.7,7.2,3.4,19.0,11.1,7.901295599669311,2026-09-20
Concarneau,0.6,0.5,1.4,2.4,0.9,1.9,4.4,5.8,10.4,12.8,-9.66321071530274,2024-05-17
Cordoba,1.2,1.0,1.4,2.0,1.2,1.8,3.8,4.6,18.5,11.7,-11.092028996146382,2026-09-18
Corum,1.2,1.1666666666666667,2.2,2.0,2.1666666666666665,2.0,5.4,4.2,13.0,16.166666666666668,9.353387233507192,2026-09-19
Cosenza,0.6,0.8,0.8,1.8,0.8,1.9,3.8,4.8,11.6,12.4,-15.761428248350512,2025-05-13
Cottbus,1.0,0.9,2.2,2.4,1.6,2.5,6.0,5.2,17.5,17.5,10.884497300488192,2026-09-20
Coventry,0.6,1.4,0.2,2.0,1.4,1.3,3.2,4.4,13.1,13.2,-12.590687519625362,2026-09-19
Cremonese,1.0,1.1,1.0,1.4,1.1,1.7,4.2,4.2,10.6,11.5,-26.799893354605047,2026-09-19
Creteil,1.0,0.9,1.8,2.4,1.3,1.9,,,,,-7.540487434499937,2016-05-13
Crotone,1.0,1.0,1.6,1.6,1.3,1.4,4.2,5.0,11.9,12.4,-0.7749441428547925,2022-05-06
Crvena Zvezda (SRB),1.2,0.6,2.2,2.2,1.5,2.7,,,,,25.38829947084855,2025-01-29
Crystal Palace,0.8,0.6,1.2,2.2,1.1,2.3,3.6,5.6,11.1,15.9,-17.03462759413833,2026-09-20
Cultural Leonesa,1.0,0.9,1.2,1.6,1.0,1.4,3.8,4.6,12.3,12.1,-1.1007169930167038,2026-05-30
Darmstadt,0.6,0.6,0.6,2.2,1.0,2.1,3.0,6.0,14.0,16.1,-25.30990793240335,2026-09-18
Den Haag,0.4,0.5,1.2,2.2,1.1,2.4,4.0,7.4,11.4,16.3,-8.335258450507354,2026-09-19
Dender,0.6,0.5,1.0,2.0,0.9,2.1,3.6,7.2,11.0,17.1,-19.312816301392786,2026-05-09
Denizlispor,0.0,0.3,1.0,3.4,1.2,2.6,3.2,8.8,9.9,16.3,-30.683419967653435,2021-05-15
Derby,0.8,0.8,0.8,1.4,1.1,1.8,3.6,4.4,12.7,16.0,-5.056951072107495,2026-09-19
Dijon,1.6,1.3,1.8,1.6,1.3,1.3,5.0,5.2,12.2,13.3,12.666765394602635,2026-09-18
Dinamo Kiev (UKR),0.0,0.4,0.2,2.2,0.3,2.0,,,,,-8.161756974765922,2021-12-08
Dinamo Zagreb (CRO),1.4,1.1,1.2,1.6,1.3,2.5,,,,,27.809617156558033,2025-01-29
Doncaster,0.2,0.7,0.4,1.6,0.7,1.6,2.2,5.6,8.2,15.4,-23.179400311871632,2014-05-03
Dordrecht,1.0,0.8,0.8,1.8,1.0,1.9,,,,,7.370717957972147,2015-05-17
Dortmund,3.0,2.1,2.2,0.4,1.9,0.8,5.8,3.4,13.3,10.9,23.632592641542033,2026-09-19
Dresden,0.8,1.0,1.6,2.2,1.3,2.0,5.2,6.2,13.2,13.7,-10.989623620641396,2026-09-19
Duisburg,1.0,0.8,1.8,2.2,1.6,2.4,7.2,6.2,14.4,17.8,4.1124792528519265,2019-05-19
Dundee,1.4,1.6,1.4,1.2,1.6,1.2,3.2,5.2,11.3,17.1,10.723678117657755,2026-09-19
Dundee United,1.4,1.0,1.6,1.2,1.0,1.4,6.4,4.0,13.9,15.6,11.674434065060723,2026-09-19
Dunkerque,0.8,1.1,0.6,1.4,1.8,1.8,2.4,5.4,12.9,12.9,-24.155532089577264,2026-09-18
Eibar,3.0,2.1,2.2,0.2,1.7,0.8,4.6,5.4,10.6,18.0,39.6286640612625,2026-09-19
Ein Frankfurt,1.2,1.0,2.2,2.4,1.8,2.2,5.2,7.2,13.3,16.9,-2.479417639479152,2026-09-19
Elazigspor,0.6,0.7,0.6,1.4,0.6,1.5,,,,,-13.484618359637352,2014-05-17
Elche,0.8,0.9,2.0,2.2,1.4,2.0,5.4,4.6,10.0,13.7,2.300953523347971,2026-09-18
Eldense,1.0,1.0,0.8,1.0,1.1,1.5,4.2,5.0,13.4,11.6,2.1125828436947813,2026-09-19
Elversberg,2.0,1.7,2.2,1.4,2.4,1.6,4.6,3.8,11.9,14.4,27.23022573244657,2026-09-20
Empoli,1.2,1.1,0.8,1.2,0.8,1.2,3.0,5.2,11.3,14.5,-8.170958761659676,2026-09-20
Erciyesspor,1.2,0.7,2.0,2.0,1.3,2.1,,,,,9.852209838707722,2015-05-29
Ergotelis,1.4,1.0,0.8,1.0,0.7,1.2,,,,,-1.0884045212058027,2015-05-10
Erzgebirge Aue,1.4,1.0,1.0,2.2,0.9,2.4,2.8,4.8,10.2,12.5,15.950551215205223,2022-05-15
Erzurum BB,1.2,1.3,1.6,2.0,1.6,1.9,4.2,6.0,14.2,13.0,3.474264725144394,2021-05-11
Erzurumspor,1.4,1.1666666666666667,0.6,1.6,0.5,1.8333333333333333,2.8,3.6,9.0,13.666666666666666,7.19425930759121,2026-09-20
Eskisehirspor,1.4,1.3,1.2,1.4,1.4,1.5,,,,,5.730629407219567,2016-05-19
Espanol,0.8,1.4,1.2,1.6,1.5,1.2,3.6,5.0,13.1,12.8,-11.911693706901588,2026-09-18
Estoril,0.2,0.4,0.4,1.4,0.6,1.5,4.6,4.6,12.6,13.4,-29.014068594463424,2026-09-20
Estrela,1.6,1.2,2.0,2.0,1.8,1.9,4.2,4.6,11.2,12.4,11.741729735314038,2026-09-20
Eupen,0.6,0.7,0.8,1.4,0.6,1.5,2.8,5.4,10.1,15.1,-9.683651214458905,2024-05-11
Everton,1.8,1.1,1.2,0.6,1.3,1.4,4.6,3.6,13.6,14.9,15.829393998973046,2026-09-19
Evian Thonon Gaillard,1.4,1.0,1.6,1.0,0.9,0.8,,,,,15.069400396133688,2016-05-13
Excelsior,1.6,1.8,2.0,1.4,2.2,1.4,4.4,4.2,12.1,15.0,22.583516100200086,2026-09-19
Extremadura UD,1.2,1.1,1.2,1.8,1.2,1.5,2.2,5.4,10.8,11.2,1.086460990525893,2020-07-20
Eyupspor,0.6,1.1,0.4,3.0,1.3,2.0,4.0,6.0,12.0,15.2,-28.73840996273657,2026-09-20
FC Basel 1893 (SUI),1.8,1.6,1.2,1.4,1.4,1.4,,,,,33.02126121610195,2018-03-07
FC Emmen,0.6,1.0,1.4,3.2,1.2,2.2,3.6,5.4,10.3,18.0,-7.044272523798099,2023-05-28
FC Koln,0.8,0.9,1.4,2.8,1.5,2.3,4.8,6.2,16.4,13.4,-2.955700499656132,2026-09-19
FC København (DEN),1.4,0.8,1.6,2.6,1.4,2.7,,,,,16.031525821061678,2026-01-28
FC Midtjylland (DEN),0.4,0.3333333333333333,0.8,1.8,0.6666666666666666,2.1666666666666665,,,,,9.28349151713951,2020-12-09
FC Nordsjælland (DEN),0.2,0.16666666666666666,0.8,4.0,0.6666666666666666,3.6666666666666665,,,,,-26.791679766901552,2012-12-05
FC Sheriff (MDA),0.8,1.1666666666666667,1.0,2.2,1.1666666666666667,1.8333333333333333,,,,,11.472181973044599,2021-12-07
FC Steaua Bucureşti (ROU),0.6,0.5,0.4,1.4,0.3333333333333333,1.6666666666666667,,,,,-3.926379490688305,2013-12-11
FK Astana (KAZ),0.8,0.6666666666666666,1.0,1.8,0.8333333333333334,1.8333333333333333,,,,,15.791150881046406,2015-12-08
FK Bodø/Glimt (NOR),2.4,1.6,2.0,1.2,1.8,1.6,,,,,69.66205793147333,2026-03-17
FK Kairat (KAZ),0.0,0.125,1.2,2.6,0.875,2.75,,,,,-12.607232998903328,2026-01-28
FK Krasnodar (RUS),0.8,0.8333333333333334,1.0,2.0,1.0,1.8333333333333333,,,,,6.716504269284314,2020-12-08
FK Rostov (RUS),1.0,0.8333333333333334,1.2,1.4,1.0,2.0,,,,,22.80033209039425,2016-12-06
Falkirk,1.0,0.6,1.2,1.4,0.9,2.0,3.6,6.4,9.5,14.2,4.7252515421253065,2026-09-19
Famalicao,1.2,1.2,1.4,0.8,1.2,0.9,3.4,3.0,10.8,10.3,2.8355365584659467,2026-09-19
Farense,1.2,1.1,1.0,1.2,1.0,1.2,3.4,3.6,11.1,11.7,-0.9841492140840273,2025-05-17
Feirense,1.0,0.6,2.0,2.4,1.3,2.2,5.4,5.4,9.5,14.2,5.044984364083348,2019-05-18
Fenerbahce,2.0,1.7,3.0,0.8,2.5,1.3,7.0,4.0,17.9,12.7,-3.9823362770378026,2026-09-20
FeralpiSalo,0.4,0.9,1.2,2.2,1.4,2.0,3.8,4.4,13.1,15.2,-21.601798853818764,2024-05-10
Ferencvárosi TC (HUN),0.2,0.16666666666666666,0.8,2.4,0.8333333333333334,2.8333333333333335,,,,,-11.382569243175794,2020-12-08
Ferrol,0.8,0.7,0.4,1.2,0.4,1.3,3.0,4.0,10.6,10.6,-9.968057263080254,2025-05-31
Feyenoord,2.6,2.4,4.4,1.0,3.0,0.9,9.6,2.8,20.7,9.3,21.658016720224396,2026-09-20
Fiorentina,0.8,1.0,1.2,2.4,0.9,1.7,5.6,5.2,14.4,14.0,-23.62999560455387,2026-09-20
Foggia,1.4,1.1,1.4,1.2,1.0,1.1,4.8,5.4,13.2,13.4,-0.34516561046098104,2019-05-11
For Sittard,1.8,1.6,1.6,2.2,1.7,2.0,3.8,6.0,10.3,18.6,7.041609072455458,2026-09-19
Fortuna Dusseldorf,1.2,0.9,1.2,1.6,1.0,1.9,2.8,5.2,11.2,14.2,-4.063279870257702,2026-05-17
Frankfurt FSV,0.6,0.4,0.6,1.8,0.7,2.5,,,,,-27.870218763701132,2016-05-15
Freiburg,2.6,2.0,3.2,0.8,2.2,1.3,6.2,3.0,13.5,11.9,37.701403555235174,2026-09-19
Frosinone,2.0,2.3,1.8,0.8,2.1,0.6,5.6,5.2,16.5,18.7,36.766137215292474,2026-09-20
Fuenlabrada,0.8,0.4,1.2,2.0,1.3,2.5,5.8,5.2,10.8,14.2,-7.8930675174681255,2022-05-27
Fulham,0.4,0.9,1.0,1.6,0.9,1.3,4.4,4.8,14.3,13.9,-20.730316551850365,2026-09-20
Galatasaray,2.4,1.9,2.2,1.6,2.1,1.7,6.6,3.2,20.5,9.1,-4.848976010117212,2026-09-19
Gaziantep,1.4,0.8,1.2,1.2,0.9,1.6,3.0,3.6,13.1,14.0,12.469993457325927,2026-09-19
Gaziantepspor,0.0,0.7,0.4,3.6,0.8,2.3,,,,,-30.915408046999573,2017-06-02
Genclerbirligi,0.8,1.6,0.6,2.4,1.2,1.6,3.6,7.4,12.0,14.3,-8.786176838741994,2026-09-19
Genk,1.2,1.4,1.8,1.6,1.5,1.2,4.8,4.6,16.6,14.1,-0.3493946023152148,2026-09-20
Genoa,0.2,0.3,0.6,2.0,0.4,1.5,3.0,4.6,10.3,13.8,-28.620719974180474,2026-09-20
Gent,2.6,2.1,1.8,0.6,1.4,1.0,4.6,3.0,12.2,12.9,34.26021592369261,2026-09-18
Germinal,0.8,0.5,1.4,2.0,0.8,2.1,,,,,-15.69416865194853,2013-03-16
Getafe,1.0,1.4,0.6,0.8,0.8,0.9,3.2,4.0,9.8,12.3,-8.370491545942286,2026-09-20
Giannina,0.8,0.7,1.0,2.0,1.3,2.1,4.0,5.0,11.1,12.1,-11.99961432827422,2024-05-11
Gil Vicente,1.0,1.2,0.8,1.0,0.8,1.2,3.6,2.4,13.4,11.2,-7.025500306089043,2026-09-19
Gimnastic,1.6,1.2,2.0,1.8,1.2,1.5,6.2,4.4,14.0,9.1,13.482985104736827,2019-06-09
Giresunspor,2.4,1.6,2.2,0.8,1.6,1.3,3.3333333333333335,6.0,11.0,14.0,34.660211386020364,2023-06-07
Girona,1.8,1.3,2.2,1.4,1.5,1.2,5.2,5.4,16.0,12.0,4.403136072567122,2026-09-19
Go Ahead Eagles,1.2,1.1,2.0,2.2,2.0,2.2,5.6,4.8,13.6,20.1,2.5348633321127636,2026-09-20
Goztep,0.4,1.0,1.6,2.4,1.6,2.0,5.6,5.4,17.8,16.6,-29.27659442467052,2026-09-20
Graafschap,0.6,0.7,1.0,3.2,1.2,2.3,2.8,8.2,9.5,15.0,-12.785745959235328,2019-05-15
Granada,1.4,0.8,1.6,1.6,1.0,1.5,4.8,6.2,12.5,13.3,11.248201161673478,2026-09-20
Grenoble,1.4,1.5,1.2,1.4,1.1,1.2,2.0,6.2,7.1,13.9,11.091719347919707,2026-09-18
Greuther Furth,1.0,1.0,1.6,2.0,1.5,1.6,5.6,6.2,15.3,14.9,-6.477673065205636,2026-09-18
Groningen,1.0,1.7,1.8,2.2,2.1,1.8,3.8,5.8,14.3,14.7,-1.333963482079298,2026-09-18
Grosseto,1.0,0.5,1.2,1.8,1.0,2.0,,,,,-4.354920510161492,2013-05-18
Guadalajara,1.0,1.2,1.2,1.4,1.1,1.3,,,,,-5.364947245491294,2013-06-08
Guimaraes,1.0,0.5,0.6,0.8,0.6,1.6,5.4,2.8,17.5,8.0,-10.859889397802135,2026-09-20
Guingamp,1.0,0.8,1.6,2.0,1.2,1.7,6.0,4.4,13.9,13.6,-6.25434684195352,2026-09-19
Hamburg,0.8,1.0,0.6,2.8,1.0,2.6,4.2,6.8,11.2,16.9,-12.105883081190768,2026-09-19
Hamilton,0.6,0.6,0.6,1.4,0.6,1.3,2.6,3.2,10.6,12.7,-21.71854979524619,2021-05-16
Hannover,1.4,1.3,1.2,1.2,1.7,1.7,4.8,7.0,16.0,16.8,-4.237910716767374,2026-09-20
Hansa Rostock,0.0,0.9,0.6,1.8,0.8,1.6,4.4,4.6,12.9,12.2,-29.689916061346594,2024-05-19
Hatayspor,1.4,0.7,2.8,2.4,1.8,2.8,5.6,7.8,13.0,19.1,29.08071801468168,2025-05-31
Hearts,2.0,1.7,1.8,1.2,1.9,1.2,5.2,2.6,14.9,9.4,2.711590127513091,2026-09-19
Heerenveen,1.0,1.3,1.6,1.4,1.3,1.1,6.0,4.4,15.2,16.8,-12.17126063443311,2026-09-19
Heidenheim,2.0,2.0,2.0,1.8,2.2,1.8,5.8,5.4,14.7,16.2,3.2176403170240064,2026-09-20
Heracles,0.0,0.2,0.2,2.2,0.4,2.3,2.6,6.2,11.2,16.6,-35.60415033205663,2026-05-17
Hercules,0.8,0.5,1.0,1.4,0.9,1.5,,,,,-10.97738647949518,2014-06-07
Hertha,3.0,2.1,3.2,1.4,2.0,1.6,7.2,5.2,16.9,14.9,41.315746399822046,2026-09-19
Hibernian,0.8,1.3,1.0,1.6,1.3,1.4,4.6,4.2,14.7,13.0,-31.25589593379459,2026-09-19
Hoffenheim,0.6,1.4,1.4,2.8,1.7,2.1,4.6,5.2,16.5,12.9,-35.202857130832626,2026-09-20
Holstein Kiel,0.6,1.0,1.0,1.6,1.2,1.5,3.4,4.4,12.9,14.5,-19.85335158594762,2026-09-19
Huddersfield,0.4,0.7,0.6,2.4,0.7,2.0,2.4,4.8,12.3,13.0,-26.983269210513527,2024-05-04
Huesca,0.4,0.7,0.8,1.6,0.9,1.4,3.8,7.0,10.0,16.0,-14.469130436332307,2026-05-31
Hull,1.6,1.3,1.2,0.8,1.3,1.2,3.8,4.2,12.8,13.9,38.80835379616724,2026-09-19
Ibiza,1.0,0.9,0.4,1.4,0.8,1.8,1.4,5.0,7.8,13.5,-2.198019880765969,2023-05-27
Ingolstadt,0.4,0.6,0.8,2.0,0.8,2.0,3.8,6.4,10.5,16.4,-16.285635173726178,2022-05-15
Inter,2.6,2.2,3.0,1.6,2.6,1.4,7.4,3.8,18.4,10.9,9.824217286962948,2026-09-19
Inverness C,1.8,1.1,1.6,1.8,1.2,1.9,3.8,3.8,11.1,12.8,8.323543432383985,2017-05-20
Ionikos,1.2,1.2,1.4,1.4,0.9,1.7,4.2,3.4,11.2,7.6,-0.5597209222646597,2023-05-13
Ipswich,1.2,1.5,1.4,2.2,1.6,1.6,4.6,5.6,13.4,15.0,6.7835094794133965,2026-09-19
Iraklis,1.2,1.9,0.8,1.2,1.4,1.0,1.4,5.0,7.8,17.6,15.318310008890876,2026-09-19
Istanbulspor,0.0,0.3,0.2,3.8,0.6,2.8,4.6,7.8,10.9,18.6,-24.849739790191734,2024-05-26
Istres,0.2,0.5,0.8,2.8,1.1,2.3,,,,,-32.64194096125357,2014-05-16
Jaen,0.8,0.8,1.0,1.2,0.8,1.3,,,,,-10.850470718394035,2014-06-07
Juve Stabia,1.0,1.1,0.8,1.4,0.9,1.1,4.4,4.6,12.7,14.3,-11.670667148726807,2026-09-18
Juventus,2.0,1.6,1.6,0.8,1.2,0.9,5.8,2.8,18.5,8.4,2.4985895472236734,2026-09-20
Kaiserslautern,2.0,1.7,1.2,0.8,0.9,0.7,6.0,6.2,12.5,15.0,9.56361180408112,2026-09-19
Kalamata,0.8,0.8,1.2,1.6,1.2,1.6,3.8,4.6,11.6,14.8,,2026-09-20
Kallonis,0.2,0.6,0.4,2.8,0.5,1.9,,,,,-21.619613991425922,2016-04-17
Karabukspor,0.0,0.0,0.2,4.0,0.4,3.2,2.8,9.2,6.3,13.3,-29.73002851027627,2018-05-18
Karagumruk,2.0,1.7,1.0,0.6,1.0,0.9,2.6,3.8,9.4,12.5,18.10922491592123,2026-05-16
