club_tm,club_id,valor_plantel,div
SS Juve Stabia,5587,14430000.0,I2
LR Vicenza,2655,12700000.0,I2
Ascoli Calcio,408,12700000.0,I2
SS Arezzo,4255,12200000.0,I2
Virtus Entella,20519,10730000.0,I2
Paris Saint-Germain,583,1360000000.0,F1
AS Monaco,162,314650000.0,F1
RC Strasbourg Alsace,667,287450000.0,F1
Olympique Lyon,1041,258650000.0,F1
LOSC Lille,1082,241600000.0,F1
Stade Rennais FC,273,233300000.0,F1
RC Lens,826,203200000.0,F1
Olympique Marseille,244,181850000.0,F1
Paris FC,10004,173200000.0,F1
OGC Nice,417,139600000.0,F1
FC Toulouse,415,110900000.0,F1
AJ Auxerre,290,91200000.0,F1
FC Lorient,1158,90050000.0,F1
Stade Brestois 29,3911,69600000.0,F1
Angers SCO,1420,64000000.0,F1
Le Havre AC,738,60450000.0,F1
ESTAC Troyes,1095,40280000.0,F1
Le Mans FC,1164,27550000.0,F1
FC Nantes,995,76980000.0,F2
AS Saint-Étienne,618,66650000.00000001,F2
Stade Reims,1421,51980000.0,F2
FC Metz,347,38850000.0,F2
Montpellier HSC,969,29850000.0,F2
Clermont Foot 63,3524,16600000.000000002,F2
Red Star FC,1154,14280000.0,F2
AS Nancy-Lorraine,1159,14200000.0,F2
Rodez AF,11273,13700000.0,F2
Grenoble Foot 38,1290,11700000.0,F2
EA Guingamp,855,11650000.0,F2
USL Dunkerque,9202,11450000.0,F2
Pau FC,3166,10300000.0,F2
Stade Lavallois,1080,8980000.0,F2
FC Annecy,30204,8900000.0,F2
FC Sochaux-Montbéliard,750,8480000.0,F2
US Boulogne,7042,8199999.999999999,F2
Dijon FCO,2969,5680000.0,F2
FC Porto,720,464800000.0,P1
Sporting CP,336,378700000.0,P1
SL Benfica,294,377050000.0,P1
SC Braga,1075,150300000.0,P1
FC Famalicão,3329,61650000.0,P1
Vitória Guimarães SC,2420,52100000.0,P1
FC Alverca,2521,44900000.0,P1
GD Estoril Praia,1465,44700000.0,P1
Rio Ave FC,2425,42330000.0,P1
Casa Pia AC,3268,28550000.0,P1
CF Estrela Amadora,2431,26980000.0,P1
FC Arouca,8024,26880000.0,P1
Gil Vicente FC,2424,26100000.0,P1
Moreirense FC,979,24950000.0,P1
CD Nacional,982,21450000.0,P1
CD Santa Clara,2423,21430000.0,P1
Académico Viseu FC,7788,19330000.0,P1
CS Marítimo,1301,16880000.0,P1
PSV Eindhoven,383,284450000.0,N1
Ajax Amsterdam,610,218700000.0,N1
Feyenoord Rotterdam,234,210730000.0,N1
AZ Alkmaar,1090,129300000.0,N1
FC Twente Enschede,317,77350000.0,N1
FC Utrecht,200,63600000.0,N1
SC Heerenveen,306,52650000.0,N1
NEC Nijmegen,467,44680000.0,N1
FC Groningen,202,32850000.0,N1
Sparta Rotterdam,468,29300000.0,N1
PEC Zwolle,1269,25280000.0,N1
Go Ahead Eagles,1435,22200000.0,N1
Willem II Tilburg,403,21650000.0,N1
Excelsior Rotterdam,798,17130000.0,N1
Fortuna Sittard,385,16900000.0,N1
ADO Den Haag,1268,16780000.0,N1
SC Cambuur Leeuwarden,133,13800000.0,N1
SC Telstar,1434,8700000.0,N1
Club Brugge KV,2282,199000000.0,B1
KRC Genk,1184,98500000.0,B1
RSC Anderlecht,58,93800000.0,B1
Union Saint-Gilloise,3948,93700000.0,B1
Royal Antwerp FC,1096,61050000.0,B1
KAA Gent,157,57300000.0,B1
Standard Liège,3057,53250000.0,B1
KVC Westerlo,968,41930000.0,B1
KV Mechelen,354,41600000.0,B1
Sint-Truidense VV,475,36880000.0,B1
Cercle Brugge ,520,35550000.0,B1
Oud-Heverlee Leuven,2727,30900000.0,B1
Royal Charleroi SC,172,26850000.0,B1
Lommel SK,5026,25600000.0,B1
Zulte Waregem,3508,25550000.0,B1
KV Kortrijk,601,23350000.0,B1
RAAL La Louvière,3901,21250000.0,B1
SK Beveren,28643,16129999.999999998,B1
Galatasaray,141,411600000.0,T1
Fenerbahce,36,280700000.0,T1
Besiktas JK,114,266600000.00000003,T1
Trabzonspor,449,185800000.0,T1
Basaksehir FK,6890,75500000.0,T1
Corum FK,37951,67250000.0,T1
Göztepe,1467,60100000.0,T1
Samsunspor,152,54330000.0,T1
Caykur Rizespor,126,48000000.0,T1
Konyaspor,2293,38300000.0,T1
Kasimpasa,10484,36300000.0,T1
Alanyaspor,11282,31850000.0,T1
Gaziantep FK,2832,29800000.0,T1
Genclerbirligi Ankara,820,28850000.0,T1
Amed SK,12382,27630000.0,T1
Erzurumspor FK,39722,26880000.0,T1
Kocaelispor,120,25900000.0,T1
Eyüpspor,7160,11500000.0,T1
Rangers FC,124,148650000.0,SC0
Celtic FC,371,118400000.0,SC0
Heart of Midlothian FC,43,22030000.0,SC0
Hibernian FC,903,19050000.0,SC0
Motherwell FC,987,16850000.0,SC0
Aberdeen FC,370,14900000.0,SC0
Dundee United FC,1519,12630000.0,SC0
St. Mirren FC,465,7880000.0,SC0
Dundee FC,511,6880000.0,SC0
Kilmarnock FC,2553,6800000.0,SC0
Falkirk FC,1191,6500000.0,SC0
St. Johnstone FC,2578,6480000.0,SC0
Olympiacos Piraeus,683,184450000.0,G1
Panathinaikos,265,123750000.0,G1
PAOK Thessaloniki,1091,108800000.0,G1
AEK Athens,2441,86200000.0,G1
Aris Thessaloniki,605,40350000.0,G1
OFI Crete,653,18750000.0,G1
Levadiakos,2672,16530000.000000002,G1
Volos FC,60949,13630000.0,G1
Panetolikos,6418,13450000.0,G1
Atromitos Athens,3060,13000000.0,G1
Asteras Aktor,6676,12950000.0,G1
Kalamata FC,9,11950000.0,G1
Iraklis Thessaloniki,47,11030000.0,G1
AE Kifisia,30120,10300000.0,G1
